Month,Team,Priority,Type,Status,Count
01/01/2020,3,HIGH,DEVOPS,APPROVED,1
01/01/2020,16,HIGH,CHANGE_REQUESTS,SCHEDULED,1
01/01/2020,6,LOW,FULFILLMENT,DELAYED,1
01/01/2020,37,LOW,RETAIL,ARCHIVED,1
01/01/2020,4,LOW,INSPECTIONS,CLOSED,1
01/01/2020,30,MEDIUM,COMPLIANCE,QA_PASSED,1
01/01/2020,20,LOW,LAB_TESTING,REOPENED,1
01/01/2020,33,LOW,SCHEDULING,REJECTED,1
01/01/2020,34,LOW,PROCUREMENT,APPROVED,1
01/01/2020,4,LOW,MACHINE_LEARNING,UNDER_TEST,1
01/01/2020,8,HIGH,TRAINING,DESIGN_PHASE,1
01/01/2020,25,HIGH,PROCUREMENT_IT,APPROVED,1
01/01/2020,44,HIGH,PATENTS,REOPENED,1
01/01/2020,27,LOW,OPERATIONS,REJECTED,1
01/01/2020,9,LOW,PAYROLL,IN_PROGRESS,1
01/01/2020,25,HIGH,MONITORING,NOT_STARTED,1
01/01/2020,21,MEDIUM,ENVIRONMENTAL,BLOCKED,1
01/01/2020,25,HIGH,PRODUCT_MANAGEMENT,CLOSED,1
01/01/2020,39,MEDIUM,LAB_TESTING,ROLLED_BACK,1
01/01/2020,19,MEDIUM,BRANDING,IN_PROGRESS,1
01/01/2020,40,MEDIUM,INCIDENT_MANAGEMENT,SCHEDULED,1
01/01/2020,42,LOW,CRM,UAT,1
01/01/2020,21,LOW,SALES,QA_PASSED,1
01/01/2020,14,LOW,VENDOR_MANAGEMENT,MIGRATION_COMPLETE,1
01/01/2020,20,HIGH,DATA_GOVERNANCE,NOT_STARTED,1
01/01/2020,24,LOW,COMPLIANCE,TESTING_PASSED,1
01/01/2020,5,MEDIUM,CLIENT_RELATIONS,NOT_STARTED,1
01/01/2020,16,MEDIUM,LITIGATION,QA_FAILED,1
01/01/2020,11,MEDIUM,EVENTS,STAGING,1
01/01/2020,19,MEDIUM,COST_ESTIMATION,APPROVED,1
01/01/2020,35,MEDIUM,PRODUCT_MANAGEMENT,DEPLOYED,1
01/01/2020,1,MEDIUM,LOGISTICS,IN_REVIEW,1
01/01/2020,29,MEDIUM,HARDWARE_SUPPORT,COMPLETE,1
01/01/2020,42,HIGH,PROBLEM_MANAGEMENT,READY_FOR_DEPLOYMENT,1
01/01/2020,35,LOW,TRANSPORTATION,TESTING_PASSED,1
01/01/2020,34,HIGH,RELEASE_MANAGEMENT,UNDER_TEST,1
01/01/2020,20,MEDIUM,IT_SUPPORT,READY_FOR_DEPLOYMENT,1
01/01/2020,39,LOW,BENEFITS,DELAYED,1
01/01/2020,23,LOW,INVESTMENT,IN_PROGRESS,1
01/01/2020,39,LOW,SECURITY_POLICY,BLOCKED,1
01/01/2020,13,HIGH,SOFTWARE,PLANNED,1
01/01/2020,7,HIGH,COMPLIANCE_IT,NOT_STARTED,1
01/01/2020,33,MEDIUM,CLIENT_RELATIONS,PLANNED,1
01/01/2020,14,MEDIUM,SECURITY_POLICY,IN_QA,1
01/01/2020,31,LOW,ANALYTICS,COMPLETE,1
01/01/2020,36,HIGH,PAYROLL,ARCHIVED,1
01/01/2020,1,MEDIUM,ENVIRONMENTAL,DEPLOYED,1
01/01/2020,11,LOW,SOFTWARE_ASSET,APPROVED,1
01/01/2020,43,LOW,HARDWARE_SUPPORT,COMPLETE,1
01/01/2020,38,LOW,SUPPLY_CHAIN,TESTING_FAILED,1
01/01/2020,14,LOW,ADVERTISING,BLOCKED,1
01/01/2020,11,MEDIUM,CONTENT_MARKETING,DELAYED,1
01/01/2020,7,LOW,LICENSE_MANAGEMENT,AWAITING_INPUT,1
01/01/2020,3,LOW,PROBLEM_MANAGEMENT,DEPLOYED,1
01/01/2020,29,HIGH,LOGISTICS,TESTING_PASSED,1
01/01/2020,31,LOW,DEVELOPMENT,CANCELLED,1
01/01/2020,7,HIGH,BRANDING,DELAYED,1
01/01/2020,31,HIGH,TAXATION,DEPLOYED,1
01/01/2020,42,LOW,INDUSTRIAL_ENGINEERING,ON_HOLD,1
01/01/2020,42,MEDIUM,LICENSE_MANAGEMENT,MIGRATING,1
01/01/2020,43,HIGH,BENEFITS,DEPLOYED,1
01/01/2020,25,LOW,WEB_DEVELOPMENT,SCHEDULED,1
01/01/2020,13,MEDIUM,CUSTOMER_SUPPORT,IN_REVIEW,1
01/01/2020,38,LOW,TRAINING,FINALIZED,1
01/01/2020,14,HIGH,RESOURCE_MANAGEMENT,PLANNED,1
01/01/2020,1,HIGH,UI_UX,SCHEDULED,1
01/01/2020,5,HIGH,RESOURCE_MANAGEMENT,ROLLED_BACK,1
01/01/2020,29,MEDIUM,CLOUD_COMPUTING,SCHEDULED,1
01/01/2020,17,LOW,SOFTWARE_ASSET,REOPENED,1
01/01/2020,41,HIGH,EMAIL_MARKETING,TESTING_FAILED,1
01/01/2020,7,HIGH,TAXATION,QA_FAILED,1
01/01/2020,24,MEDIUM,BUDGETING,TESTING_PASSED,1
01/01/2020,35,MEDIUM,KNOWLEDGE_MANAGEMENT,IN_REVIEW,1
01/01/2020,18,MEDIUM,ACCOUNTING,REOPENED,1
01/01/2020,9,LOW,AUDITING,SCHEDULED,1
01/01/2020,32,MEDIUM,CIVIL_ENGINEERING,ROLLED_BACK,1
01/01/2020,12,HIGH,CONFIGURATION_MANAGEMENT,QA_PASSED,1
01/01/2020,7,LOW,PROJECT_MANAGEMENT,SCHEDULED,1
01/01/2020,29,LOW,WEB_DEVELOPMENT,PLANNED,1
01/01/2020,19,HIGH,CONTRACTS,IN_REVIEW,1
01/01/2020,15,LOW,MECHANICAL_ENGINEERING,QA_PASSED,1
01/01/2020,9,HIGH,SHIPPING,ROLLED_BACK,1
01/01/2020,38,HIGH,INCIDENT_RESPONSE,UAT,1
01/01/2020,17,HIGH,TRANSPORTATION,DEPLOYED,1
01/01/2020,41,HIGH,PERFORMANCE,FINALIZED,1
01/01/2020,8,LOW,DEVELOPMENT,ROLLED_BACK,1
01/01/2020,7,MEDIUM,DOCUMENTATION,QA_PASSED,1
01/01/2020,16,LOW,LOGISTICS,ON_HOLD,1
01/01/2020,7,HIGH,MANAGERIAL,FINALIZED,1
01/01/2020,27,HIGH,ECOMMERCE,NOT_STARTED,1
01/01/2020,43,MEDIUM,DEVELOPMENT,MIGRATION_COMPLETE,1
01/01/2020,34,HIGH,ANALYTICS,REOPENED,1
01/01/2020,1,MEDIUM,DATA_PRIVACY,ON_HOLD,1
01/01/2020,28,LOW,LOGGING,QA_FAILED,1
01/01/2020,4,HIGH,EMPLOYEE_RELATIONS,REOPENED,1
01/01/2020,22,LOW,WHOLESALE,ON_HOLD,1
01/01/2020,18,LOW,QA_TESTING,COMPLETE,1
01/01/2020,41,LOW,MECHANICAL_ENGINEERING,MIGRATION_COMPLETE,1
01/01/2020,19,MEDIUM,CONTENT_MARKETING,MIGRATING,1
01/01/2020,6,MEDIUM,IT_SUPPORT,DESIGN_PHASE,1
01/01/2020,35,HIGH,PROCUREMENT,IN_QA,1
01/01/2020,13,MEDIUM,IT_POLICY,AWAITING_INPUT,1
01/01/2020,14,MEDIUM,MAINTENANCE,IN_REVIEW,1
01/01/2020,5,LOW,BUDGET_TRACKING,DELAYED,1
01/01/2020,8,HIGH,PERFORMANCE,DESIGN_PHASE,1
01/01/2020,39,LOW,SHIPPING,IN_REVIEW,1
01/01/2020,5,MEDIUM,ESCALATIONS,ROLLED_BACK,1
01/01/2020,7,MEDIUM,SERVICE_REQUESTS,DEVELOPMENT_PHASE,1
01/01/2020,26,MEDIUM,INTERNAL_AUDIT,DELAYED,1
01/01/2020,9,HIGH,PROJECT_MANAGEMENT,IN_QA,1
01/01/2020,8,LOW,GOVERNANCE,PLANNED,1
01/01/2020,40,MEDIUM,BUDGET_TRACKING,READY_FOR_DEPLOYMENT,1
01/01/2020,6,HIGH,BUDGETING,ON_HOLD,1
01/01/2020,4,MEDIUM,GOVERNANCE,AWAITING_APPROVAL,1
01/01/2020,38,MEDIUM,STAFFING,AWAITING_APPROVAL,1
01/01/2020,24,LOW,SOFTWARE_SUPPORT,TESTING_FAILED,1
01/01/2020,31,LOW,CIVIL_ENGINEERING,DEVELOPMENT_PHASE,1
01/01/2020,40,LOW,PERFORMANCE,ROLLED_BACK,1
01/01/2020,19,MEDIUM,LITIGATION,PLANNED,1
01/01/2020,36,MEDIUM,OPERATIONS,DEPLOYED,1
01/01/2020,44,LOW,CAPACITY_PLANNING,QA_FAILED,1
01/01/2020,30,HIGH,INCIDENT_MANAGEMENT,ROLLED_BACK,1
01/01/2020,21,MEDIUM,OPERATIONS,TESTING_PASSED,1
01/01/2020,10,MEDIUM,PRODUCT_SUPPORT,SCHEDULED,1
01/01/2020,23,MEDIUM,CHANGE_MANAGEMENT,FINALIZED,1
01/01/2020,24,HIGH,PRODUCT_MANAGEMENT,BLOCKED,1
01/01/2020,1,MEDIUM,SALES,ARCHIVED,1
01/01/2020,24,LOW,FULFILLMENT,QA_PASSED,1
01/01/2020,4,HIGH,ESCALATIONS,QA_FAILED,1
01/01/2020,41,LOW,PAYROLL,ARCHIVED,1
01/01/2020,7,MEDIUM,EMAIL_MARKETING,ON_HOLD,1
01/01/2020,23,LOW,RISK_MANAGEMENT,IN_PROGRESS,1
01/01/2020,13,MEDIUM,MAINTENANCE,QA_PASSED,1
01/01/2020,32,MEDIUM,LOGISTICS,READY_FOR_DEPLOYMENT,1
01/01/2020,13,HIGH,BENEFITS,ROLLED_BACK,1
01/01/2020,4,HIGH,ONBOARDING,AWAITING_INPUT,1
01/01/2020,12,MEDIUM,ERP,TESTING_PASSED,1
01/01/2020,8,MEDIUM,RESOURCE_MANAGEMENT,QA_PASSED,1
01/01/2020,13,HIGH,SUPPLY_CHAIN,QA_PASSED,1
01/01/2020,20,MEDIUM,LEGAL,FINALIZED,1
01/01/2020,25,LOW,PROJECT_MANAGEMENT,DEVELOPMENT_PHASE,1
01/01/2020,44,MEDIUM,WEB_DEVELOPMENT,DELAYED,1
01/01/2020,15,MEDIUM,INVENTORY,DEVELOPMENT_PHASE,1
01/01/2020,33,HIGH,INVOICING,UNDER_TEST,1
01/01/2020,2,HIGH,KNOWLEDGE_MANAGEMENT,TESTING_PASSED,1
01/01/2020,9,HIGH,OPERATIONS,APPROVED,1
01/01/2020,31,MEDIUM,RESEARCH,COMPLETE,1
01/01/2020,27,LOW,RETENTION,UAT,1
01/01/2020,43,LOW,SOFTWARE,ARCHIVED,1
01/01/2020,19,MEDIUM,PLANNING,UNDER_TEST,1
01/01/2020,23,LOW,GOVERNANCE,SCHEDULED,1
01/01/2020,30,MEDIUM,MAINTENANCE,SCHEDULED,1
01/01/2020,43,MEDIUM,PROCUREMENT_GENERAL,ARCHIVED,1
01/01/2020,20,HIGH,TRAINING_DEV,CLOSED,1
01/01/2020,10,LOW,BACKUP,READY_FOR_DEPLOYMENT,1
01/01/2020,25,MEDIUM,BENEFITS,NOT_STARTED,1
01/01/2020,15,HIGH,RESOURCE_MANAGEMENT,AWAITING_APPROVAL,1
01/01/2020,43,MEDIUM,GOVERNANCE,CLOSED,1
01/01/2020,43,LOW,COST_ESTIMATION,DESIGN_PHASE,1
01/01/2020,18,LOW,PAYROLL,MIGRATION_COMPLETE,1
01/01/2020,37,MEDIUM,DATA_SCIENCE,BLOCKED,1
01/01/2020,39,MEDIUM,HARDWARE_SUPPORT,UNDER_TEST,1
01/01/2020,42,MEDIUM,WHOLESALE,READY_FOR_DEPLOYMENT,1
01/01/2020,36,MEDIUM,ARCHITECTURE,TESTING_PASSED,1
01/01/2020,31,HIGH,CHANGE_MANAGEMENT,ON_HOLD,1
01/01/2020,10,LOW,DATA_SCIENCE,NOT_STARTED,1
01/01/2020,6,MEDIUM,DATA_PRIVACY,AWAITING_APPROVAL,1
01/01/2020,2,MEDIUM,PRODUCT_SUPPORT,READY_FOR_DEPLOYMENT,1
01/01/2020,33,HIGH,SECURITY_OPERATIONS,MIGRATION_COMPLETE,1
01/01/2020,26,LOW,RECRUITMENT,IN_QA,1
01/01/2020,32,LOW,AUDITING,PLANNED,1
01/01/2020,27,LOW,SOFTWARE_SUPPORT,ON_HOLD,1
01/01/2020,3,MEDIUM,OPERATIONS,ROLLED_BACK,1
01/01/2020,26,MEDIUM,RETAIL,TESTING_PASSED,1
01/01/2020,24,MEDIUM,REGULATORY,PLANNED,1
01/01/2020,29,HIGH,HR,STAGING,1
01/01/2020,2,LOW,PROCUREMENT,CLOSED,1
01/01/2020,7,HIGH,ARTIFICIAL_INTELLIGENCE,UAT,1
01/01/2020,38,LOW,QA_TESTING,DEPLOYED,1
01/01/2020,31,MEDIUM,TRANSPORTATION,FINALIZED,1
01/01/2020,34,HIGH,CYBERSECURITY,CANCELLED,1
01/01/2020,6,MEDIUM,REGULATORY,TESTING_PASSED,1
01/01/2020,30,MEDIUM,PROJECT_MANAGEMENT,PLANNED,1
01/01/2020,19,MEDIUM,QUALITY_CONTROL,STAGING,1
01/01/2020,9,HIGH,MANAGERIAL,IN_PROGRESS,1
01/01/2020,5,HIGH,SHIPPING,IN_REVIEW,1
01/01/2020,21,LOW,RECRUITMENT,CLOSED,1
01/01/2020,39,HIGH,DEVOPS,QA_FAILED,1
01/01/2020,34,LOW,USER_RESEARCH,BLOCKED,1
01/01/2020,17,HIGH,CYBERSECURITY,REOPENED,1
01/01/2020,32,LOW,CUSTOMER_SUPPORT,DELAYED,1
01/01/2020,44,MEDIUM,CRM,MIGRATION_COMPLETE,1
01/01/2020,17,LOW,CONFIGURATION_MANAGEMENT,ROLLED_BACK,1
01/01/2020,9,MEDIUM,CUSTOMER_SUPPORT,TESTING_PASSED,1
01/01/2020,15,HIGH,STAFFING,TESTING_PASSED,1
01/01/2020,22,MEDIUM,COMPLIANCE,IN_QA,1
01/01/2020,10,MEDIUM,KNOWLEDGE_MANAGEMENT,MIGRATION_COMPLETE,1
01/01/2020,28,LOW,DATA_SCIENCE,MIGRATION_COMPLETE,1
01/01/2020,41,HIGH,LOGGING,MIGRATION_COMPLETE,1
01/01/2020,36,HIGH,MACHINE_LEARNING,AWAITING_APPROVAL,1
01/01/2020,1,HIGH,RISK_MANAGEMENT,AWAITING_APPROVAL,1
01/01/2020,25,MEDIUM,CIVIL_ENGINEERING,IN_REVIEW,1
01/01/2020,41,HIGH,INVOICING,DEVELOPMENT_PHASE,1
01/01/2020,38,HIGH,RELEASE_MANAGEMENT,APPROVED,1
01/01/2020,30,LOW,ESCALATIONS,UNDER_TEST,1
01/01/2020,4,MEDIUM,MANUFACTURING,AWAITING_INPUT,1
01/01/2020,43,LOW,CLIENT_RELATIONS,ROLLED_BACK,1
01/01/2020,37,MEDIUM,ARTIFICIAL_INTELLIGENCE,MIGRATING,1
01/01/2020,16,MEDIUM,BENEFITS,QA_PASSED,1
01/01/2020,10,LOW,DATA_PRIVACY,UAT,1
01/01/2020,36,MEDIUM,INCIDENT_TICKETING,READY_FOR_DEPLOYMENT,1
01/01/2020,40,HIGH,PAYROLL_MANAGEMENT,IN_PROGRESS,1
01/01/2020,25,HIGH,INCIDENT_TICKETING,BLOCKED,1
01/01/2020,18,LOW,SCHEDULING,MIGRATION_COMPLETE,1
01/01/2020,23,MEDIUM,PAYROLL,DEPLOYED,1
01/01/2020,23,LOW,PLANNING,QA_FAILED,1
01/01/2020,20,HIGH,WEB_DEVELOPMENT,IN_REVIEW,1
01/01/2020,4,LOW,PLANNING,IN_REVIEW,1
01/01/2020,4,HIGH,PROBLEM_MANAGEMENT,DEVELOPMENT_PHASE,1
01/01/2020,4,MEDIUM,ACCESS_CONTROL,MIGRATING,1
01/01/2020,10,LOW,PUBLIC_RELATIONS,CLOSED,1
01/01/2020,36,LOW,PROCUREMENT_GENERAL,IN_PROGRESS,1
01/01/2020,27,MEDIUM,PUBLIC_RELATIONS,IN_REVIEW,1
01/01/2020,1,MEDIUM,SALES,CLOSED,1
01/01/2020,21,MEDIUM,PLANNING,READY_FOR_DEPLOYMENT,1
01/01/2020,32,LOW,QUALITY_CONTROL,SCHEDULED,1
01/01/2020,16,MEDIUM,QA_TESTING,DELAYED,1
01/01/2020,8,HIGH,WHOLESALE,ON_HOLD,1
01/01/2020,7,MEDIUM,MONITORING,DEPLOYED,1
01/01/2020,36,MEDIUM,USER_RESEARCH,ROLLED_BACK,1
01/01/2020,21,LOW,ARCHITECTURE,DELAYED,1
01/01/2020,26,LOW,CLOUD_COMPUTING,COMPLETE,1
01/01/2020,10,MEDIUM,HR,MIGRATING,1
01/01/2020,43,LOW,UI_UX,READY_FOR_DEPLOYMENT,1
01/01/2020,23,LOW,CYBERSECURITY,REOPENED,1
01/01/2020,4,HIGH,VULNERABILITY_MANAGEMENT,UNDER_TEST,1
01/01/2020,28,MEDIUM,TAXATION,MIGRATING,1
01/01/2020,2,MEDIUM,STRATEGY,IN_QA,1
01/01/2020,8,HIGH,LITIGATION,STAGING,1
01/01/2020,2,HIGH,KNOWLEDGE_MANAGEMENT,DELAYED,1
01/01/2020,6,MEDIUM,QUALITY_CONTROL,SCHEDULED,1
01/01/2020,40,MEDIUM,LOGGING,IN_QA,1
01/01/2020,25,LOW,TIME_TRACKING,ARCHIVED,1
01/01/2020,20,LOW,ANALYTICS,ROLLED_BACK,1
01/01/2020,17,MEDIUM,RESEARCH,IN_QA,1
01/01/2020,35,HIGH,LOGISTICS,APPROVED,1
01/01/2020,23,LOW,AUDITING,DEVELOPMENT_PHASE,1
01/01/2020,6,MEDIUM,SOFTWARE_SUPPORT,QA_PASSED,1
01/01/2020,37,MEDIUM,IT_SUPPORT,FINALIZED,1
01/01/2020,8,HIGH,PERFORMANCE_MONITORING,FINALIZED,1
01/01/2020,30,HIGH,LICENSE_MANAGEMENT,PLANNED,1
01/01/2020,10,HIGH,GDPR,DEVELOPMENT_PHASE,1
01/01/2020,12,LOW,SLA_MANAGEMENT,FINALIZED,1
01/01/2020,15,LOW,INNOVATION,BLOCKED,1
01/01/2020,44,HIGH,OPERATIONS,STAGING,1
01/01/2020,38,HIGH,IT_SUPPORT,UAT,1
01/01/2020,31,HIGH,CONTENT_MARKETING,BLOCKED,1
01/01/2020,5,HIGH,CUSTOMER_SUPPORT,CANCELLED,1
01/01/2020,27,MEDIUM,MARKETING,DEPLOYED,1
01/01/2020,36,LOW,LITIGATION,BLOCKED,1
01/01/2020,5,MEDIUM,BRANDING,CLOSED,1
01/01/2020,25,HIGH,LITIGATION,DEPLOYED,1
01/01/2020,20,MEDIUM,IT_POLICY,MIGRATING,1
01/01/2020,18,MEDIUM,SUPPLY_CHAIN,DEPLOYED,1
01/01/2020,22,LOW,LITIGATION,COMPLETE,1
01/01/2020,28,LOW,ANALYTICS,ON_HOLD,1
01/01/2020,36,MEDIUM,WEB_DEVELOPMENT,IN_PROGRESS,1
01/01/2020,40,HIGH,AUDITING,ROLLED_BACK,1
01/01/2020,15,HIGH,TRAINING,MIGRATING,1
01/01/2020,3,LOW,REGULATORY,TESTING_FAILED,1
01/01/2020,32,LOW,QA_TESTING,AWAITING_INPUT,1
01/01/2020,40,HIGH,RESEARCH,UAT,1
01/01/2020,36,LOW,CONTENT_MARKETING,AWAITING_APPROVAL,1
01/01/2020,17,HIGH,CAPACITY_PLANNING,UAT,1
01/01/2020,16,HIGH,PERFORMANCE_MONITORING,TESTING_FAILED,1
01/01/2020,14,HIGH,PROCUREMENT_IT,STAGING,1
01/01/2020,19,LOW,CUSTOMER_SUPPORT,DELAYED,1
01/01/2020,14,LOW,HR,IN_PROGRESS,1
01/01/2020,16,MEDIUM,IT_POLICY,ARCHIVED,1
01/01/2020,30,LOW,INDUSTRIAL_ENGINEERING,REOPENED,1
01/01/2020,26,MEDIUM,BIOMEDICAL,NOT_STARTED,1
01/01/2020,21,LOW,CAMPAIGNS,AWAITING_INPUT,1
01/01/2020,8,HIGH,WAREHOUSING,COMPLETE,1
01/01/2020,18,LOW,INNOVATION,AWAITING_APPROVAL,1
01/01/2020,22,MEDIUM,STRATEGY,SCHEDULED,1
01/01/2020,23,MEDIUM,RELEASE_MANAGEMENT,FINALIZED,1
01/01/2020,8,LOW,VULNERABILITY_MANAGEMENT,MIGRATING,1
01/01/2020,33,HIGH,CHEMICAL_ENGINEERING,DEVELOPMENT_PHASE,1
01/01/2020,22,MEDIUM,EMAIL_MARKETING,IN_PROGRESS,1
01/01/2020,32,MEDIUM,DISASTER_RECOVERY,STAGING,1
01/01/2020,25,LOW,SOFTWARE_SUPPORT,MIGRATING,1
02/01/2020,2,HIGH,ADVERTISING,REOPENED,1
02/01/2020,3,MEDIUM,ADVERTISING,TESTING_FAILED,1
02/01/2020,8,LOW,COST_ESTIMATION,TESTING_FAILED,1
02/01/2020,18,MEDIUM,CHEMICAL_ENGINEERING,CANCELLED,1
02/01/2020,25,MEDIUM,PROCUREMENT_GENERAL,TESTING_FAILED,1
02/01/2020,41,HIGH,ELECTRICAL_ENGINEERING,DESIGN_PHASE,1
02/01/2020,13,MEDIUM,AUDITING,IN_QA,1
02/01/2020,20,MEDIUM,CAPACITY_PLANNING,UNDER_TEST,1
02/01/2020,27,MEDIUM,RESEARCH,QA_PASSED,1
02/01/2020,4,MEDIUM,ARCHITECTURE,UNDER_TEST,1
02/01/2020,22,LOW,DATA_GOVERNANCE,DEPLOYED,1
02/01/2020,24,MEDIUM,FIELD_TESTING,ARCHIVED,1
02/01/2020,41,MEDIUM,VENDOR_MANAGEMENT,ON_HOLD,1
02/01/2020,21,LOW,FULFILLMENT,TESTING_PASSED,1
02/01/2020,33,MEDIUM,SERVICE_REQUESTS,AWAITING_INPUT,1
02/01/2020,34,MEDIUM,MANUFACTURING,REOPENED,1
02/01/2020,12,LOW,INFRASTRUCTURE,IN_QA,1
02/01/2020,39,MEDIUM,IT_POLICY,DESIGN_PHASE,1
02/01/2020,29,MEDIUM,ONBOARDING,AWAITING_APPROVAL,1
02/01/2020,30,LOW,INVESTMENT,READY_FOR_DEPLOYMENT,1
02/01/2020,34,LOW,EXTERNAL_AUDIT,IN_QA,1
02/01/2020,18,HIGH,ELECTRICAL_ENGINEERING,TESTING_PASSED,1
02/01/2020,20,HIGH,HR,NOT_STARTED,1
02/01/2020,16,HIGH,SALES,AWAITING_INPUT,1
02/01/2020,16,MEDIUM,INFRASTRUCTURE,IN_QA,1
02/01/2020,21,HIGH,FULFILLMENT,BLOCKED,1
02/01/2020,39,MEDIUM,MACHINE_LEARNING,DELAYED,1
02/01/2020,21,LOW,INVOICING,SCHEDULED,1
02/01/2020,28,HIGH,NETWORKING,IN_PROGRESS,1
02/01/2020,33,MEDIUM,SEO,IN_QA,1
02/01/2020,34,MEDIUM,MECHANICAL_ENGINEERING,COMPLETE,1
02/01/2020,9,MEDIUM,QUALITY_CONTROL,ROLLED_BACK,1
02/01/2020,23,HIGH,FULFILLMENT,MIGRATING,1
02/01/2020,3,LOW,PROBLEM_MANAGEMENT,DESIGN_PHASE,1
02/01/2020,6,MEDIUM,PROBLEM_MANAGEMENT,BLOCKED,1
02/01/2020,39,HIGH,ACCOUNT_MANAGEMENT,UAT,1
02/01/2020,28,HIGH,SALES,DELAYED,1
02/01/2020,43,MEDIUM,CONFIGURATION_MANAGEMENT,DEVELOPMENT_PHASE,1
02/01/2020,10,HIGH,SOFTWARE_ENGINEERING,DESIGN_PHASE,1
02/01/2020,26,LOW,LICENSE_MANAGEMENT,SCHEDULED,1
02/01/2020,34,LOW,INNOVATION,DESIGN_PHASE,1
02/01/2020,17,MEDIUM,LOGISTICS,STAGING,1
02/01/2020,17,HIGH,PROJECT_MANAGEMENT,AWAITING_INPUT,1
02/01/2020,23,HIGH,INVOICING,COMPLETE,1
02/01/2020,1,MEDIUM,PERFORMANCE_MONITORING,DESIGN_PHASE,1
02/01/2020,40,LOW,MANAGERIAL,DEPLOYED,1
02/01/2020,16,MEDIUM,FIELD_TESTING,READY_FOR_DEPLOYMENT,1
02/01/2020,6,MEDIUM,RETENTION,SCHEDULED,1
02/01/2020,40,MEDIUM,TIME_TRACKING,CANCELLED,1
02/01/2020,6,HIGH,ACCESS_CONTROL,APPROVED,1
02/01/2020,21,MEDIUM,DEVELOPMENT,READY_FOR_DEPLOYMENT,1
02/01/2020,8,MEDIUM,STAFFING,IN_PROGRESS,1
02/01/2020,22,HIGH,FIELD_TESTING,ARCHIVED,1
02/01/2020,13,MEDIUM,LITIGATION,IN_REVIEW,1
02/01/2020,8,HIGH,PERFORMANCE_MONITORING,QA_FAILED,1
02/01/2020,25,MEDIUM,SOFTWARE_ENGINEERING,MIGRATING,1
02/01/2020,1,MEDIUM,DOCUMENTATION,CANCELLED,1
02/01/2020,4,MEDIUM,MAINTENANCE,IN_QA,1
02/01/2020,44,HIGH,INCIDENT_RESPONSE,ROLLED_BACK,1
02/01/2020,26,LOW,HARDWARE_ASSET,APPROVED,1
02/01/2020,29,LOW,IT_SUPPORT,COMPLETE,1
02/01/2020,1,HIGH,ANALYTICS,APPROVED,1
02/01/2020,1,MEDIUM,INTERNAL_AUDIT,DESIGN_PHASE,1
02/01/2020,27,LOW,COMPLIANCE_IT,BLOCKED,1
02/01/2020,13,MEDIUM,DATA_SCIENCE,BLOCKED,1
02/01/2020,42,HIGH,FINANCIAL,PLANNED,1
02/01/2020,5,HIGH,TRAINING_DEV,READY_FOR_DEPLOYMENT,1
